Sprint ID,Sprint Name,State
67,REZIL Sprint 1,closed
133,REZIL Sprint 2,closed
166,REZIL Sprint 3,closed
199,REZIL Sprint 4,closed
200,REZIL Sprint 5,closed
201,REZIL Sprint 6,closed
202,REZIL Sprint 7,closed
203,REZIL Sprint 8,closed
236,REZIL Sprint 9,closed
237,REZIL Sprint 10,closed
238,REZIL Sprint 11,closed
239,REZIL Sprint 12,closed
269,REZIL Sprint 13,closed
270,REZIL Sprint 14,active
271,REZIL Sprint 15,future
272,REZIL Sprint 16,future
273,REZIL Sprint 17,future
302,REZIL Sprint 18,future
